Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
981,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,660,UAE18660,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.9,30.4,0.335,UAE18660_HETEVULG_24.9,25.48209,56.36566,Vial,
1049,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.9,26.3,0.335,UAE18---_HETEVULG_21.9,25.48209,56.36566,NPNT-Lot,
849,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.2,25.6,0.337,UAE18---_HETEVULG_21.2,25.49257,56.36386,NPNT-Lot,mottled dorsal
819,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.5,26.3,0.338,UAE18---_HETEVULG_21.5,25.49257,56.36386,NPNT-Lot,mottled dorsal
1550,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.4,26.8,0.338,UAE18---_HETEVULG_22.4,25.48241,56.36623,NPNT-Lot,
1046,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.9,28.6,0.34,UAE18---_HETEVULG_23.9,25.48209,56.36566,NPNT-Lot,
330,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,330,UAE18330,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.8,30.6,0.346,UAE18330_HETEVULG_24.8,25.48247,56.36955,Vial,
1545,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.3,27.4,0.346,UAE18---_HETEVULG_23.3,25.48241,56.36623,NPNT-Lot,
805,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.9,26.3,0.35,UAE18---_HETEVULG_21.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
480,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25,32.7,0.352,UAE18---_HETEVULG_25,25.49182,56.36369,NPNT-Lot,mottled dorsal
1589,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,27.7,0.352,UAE18---_HETEVULG_22.9,25.48241,56.36623,NPNT-Lot,
1069,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.1,28.1,0.353,UAE18---_HETEVULG_23.1,25.48209,56.36566,NPNT-Lot,
750,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,548,UAE18548,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.5,29.7,0.356,UAE18548_HETEVULG_24.5,25.49257,56.36386,Vial,
865,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.3,26.9,0.358,UAE18---_HETEVULG_22.3,25.49257,56.36386,NPNT-Lot,mottled dorsal
1045,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23,27,0.361,UAE18---_HETEVULG_23,25.48209,56.36566,NPNT-Lot,
793,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.8,25.6,0.362,UAE18---_HETEVULG_21.8,25.49257,56.36386,NPNT-Lot,mottled dorsal
1583,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.2,28.9,0.366,UAE18---_HETEVULG_24.2,25.48241,56.36623,NPNT-Lot,
1576,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.7,27.9,0.373,UAE18---_HETEVULG_23.7,25.48241,56.36623,NPNT-Lot,
1560,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.5,28,0.377,UAE18---_HETEVULG_23.5,25.48241,56.36623,NPNT-Lot,
1042,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.3,27.9,0.383,UAE18---_HETEVULG_23.3,25.48209,56.36566,NPNT-Lot,
340,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,340,UAE18340,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25.3,31.1,0.399,UAE18340_HETEVULG_25.3,25.48247,56.36955,Vial,black dorsal
1558,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.1,29.6,0.399,UAE18---_HETEVULG_24.1,25.48241,56.36623,NPNT-Lot,
599,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,466,UAE18466,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.5,30.2,0.402,UAE18466_HETEVULG_24.5,25.49257,56.36386,Vial,
